segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,segmentData17,labels
1.177487,-3.997313,-0.8699776,-1.092409,-0.03479328,-1.964445,3.681914,-0.2874357,0.6658673,-2.047118,1.565351,-5.307216,-7.164639,-6.23635,0.5942978,1.074908,0.2579273,S  7
-0.1142583,-3.29334,1.466774,0.7226264,1.594779,-0.3975088,4.409433,-1.497033,1.454438,-5.803044,3.109982,7.106308,12.0977,8.174277,4.439522,5.307031,4.303647,S  7
-1.10012,-4.916812,1.144589,0.09674674,1.156843,-0.155338,0.7842257,-3.064617,1.028498,-4.969159,-1.2665,-3.467474,-1.92873,-2.481076,2.283101,2.638061,1.413193,S  7
1.536923,-5.797967,0.3155048,0.8847824,-0.7888934,-0.8767771,-0.531707,-0.6717867,0.6947745,-1.734802,0.2655755,-4.055217,-7.797482,-4.192238,3.245712,1.213781,1.489752,S  7
0.1193969,-3.766537,2.004301,1.641812,1.80565,-1.679811,2.071267,0.4922466,-0.04297709,-3.799391,1.416563,2.925079,3.984725,0.1640978,4.289147,4.581675,5.179729,S  7
-3.050391,-3.423933,2.277392,2.915521,3.540142,-0.5214307,4.073971,-3.087101,0.1759796,-7.547064,-0.7244213,9.210771,7.462524,7.082096,6.136859,8.492201,6.704431,S  7
0.09990388,-5.217398,2.849201,4.429757,1.857377,-1.227238,-0.1450458,-1.283411,1.721708,0.4614868,0.7677754,2.447136,-2.24932,1.008749,2.432212,3.908533,3.554308,S  7
0.6653796,-2.595589,2.588376,3.85986,2.703413,-0.6769043,4.234089,0.6909423,0.1931689,-1.392315,3.80051,-4.428371,2.167279,-3.268053,1.721301,6.904793,4.59431,S  7
-0.07335699,-2.128718,2.377548,3.524659,3.86461,0.8576173,5.374962,0.06297955,-0.4503675,2.391233,2.714023,17.17922,10.30466,12.44291,3.448778,9.952689,6.259175,S  7
-0.8889441,-2.496054,4.259688,6.700812,5.029185,-0.1363998,5.88779,-1.387763,1.699473,-1.086312,4.202343,10.55322,1.511606,2.99523,1.140861,8.468242,5.896275,S  7
4.835347,2.010125,4.885277,6.673222,4.790776,6.39195,4.783185,2.781974,0.8280348,5.117175,0.6920058,4.375366,11.79922,11.71548,5.803273,9.472114,12.92857,S  8
6.424496,2.182293,7.128819,12.17574,5.537423,10.81269,4.105689,3.170638,1.299698,-0.7484283,0.06886838,18.52117,7.332969,12.77517,14.05715,8.232127,14.91322,S  8
11.00976,2.181431,9.369016,14.03248,6.53373,14.77621,3.414542,4.952228,1.205904,12.4803,-2.081706,15.70926,10.1174,14.31668,15.65286,9.293362,17.96447,S  8
8.029473,-0.1162944,4.635188,8.440736,2.985997,8.993677,0.8627063,3.347394,0.6400853,4.340534,-1.905371,-3.470437,3.78253,3.855661,8.43561,5.423305,9.400496,S  8
6.169334,-0.1772821,6.289982,10.94884,4.133205,9.025692,0.5036504,2.522445,1.788598,-2.341208,-3.569597,14.2464,6.671568,11.11925,12.85733,5.985074,9.693767,S  8
9.176284,-1.567458,7.91214,11.02975,4.493453,10.41752,-1.007095,4.66115,0.8092213,7.449891,-7.07241,2.901226,9.129944,5.872928,11.74309,5.896798,10.3867,S  8
5.583148,0.6859484,3.775864,7.49789,2.386,5.004594,-0.2211975,1.20651,0.4268599,1.8276,0.1663667,2.995561,-4.027023,0.7028536,7.616859,2.698024,7.254103,S  8
2.143001,-1.035228,3.690392,4.823571,3.228266,-0.2655174,0.8512902,0.1527124,2.252756,-0.1354469,-3.754664,-0.2344791,3.558192,4.455781,2.950489,4.358563,3.622452,S  8
-0.6112819,-1.34498,3.711976,0.3940932,3.071303,-1.819366,0.8075836,0.4961121,1.404495,-4.804841,-6.18219,-6.570876,6.355653,-0.161909,-0.1018346,4.706017,2.325906,S  8
-1.800785,0.02162099,1.606637,0.468827,1.421203,-3.49789,1.389975,-0.7657138,0.6640784,-0.8327132,-0.5918342,7.574417,0.8821543,2.50964,-1.024265,2.983193,1.751505,S  8
-3.576677,-0.5898442,1.973835,-2.176245,2.079607,-9.055003,0.9808802,-1.506662,1.225686,-0.3297405,-2.372918,-7.637206,-3.274881,-3.586789,-7.486777,1.846782,-0.1933554,S  8
-5.343712,1.193913,2.357916,-3.420037,3.993694,-7.336718,4.686064,-2.549201,0.4868126,-7.58505,-2.123911,3.175057,2.646733,3.375574,-4.666034,4.781171,-0.1574053,S  8
-6.390407,0.7560282,1.143157,-4.876141,2.231071,-9.406871,4.944135,-1.124689,0.1039142,-3.788325,-2.838566,-3.07923,11.12066,4.327219,-9.630449,5.478349,-2.411002,S  8
-3.057543,1.083847,3.149379,-3.487879,2.221539,-6.203424,2.232895,0.03918831,0.9455537,0.9094529,-2.262709,2.049876,-6.044809,-3.281371,-7.004503,0.8471408,-1.252245,S  8
-1.703897,-0.8364595,3.467225,2.116933,3.641146,-0.5244659,0.8668096,-0.3881025,-2.440361,-2.305084,-4.645036,12.56713,-0.5222822,5.590492,0.05093334,1.553467,1.061298,S  8
-0.7595208,5.198744,4.934985,1.802786,5.98072,-3.781009,7.809885,0.5599356,-0.5900083,-1.650138,0.1755022,-4.563576,13.86238,8.027455,-2.784357,7.540842,1.322402,S  8
4.77268,3.369089,5.253603,3.329445,4.975069,6.786945,5.387368,2.347068,0.8569081,4.585302,-3.636217,10.45199,-1.332073,3.425602,4.214925,3.353045,1.890407,S  8
6.067546,-1.026757,5.649996,10.51743,3.199581,10.85069,-3.714647,4.632142,-2.330044,4.760399,-7.710523,10.42415,-3.169975,3.287158,9.175534,-0.9047693,4.204209,S  8
7.914375,6.07561,6.918239,12.32753,7.563725,9.49134,6.611884,3.552891,0.2337321,3.925631,2.392695,6.016446,10.86679,10.77425,12.2812,5.706686,6.846601,S  8
8.778277,4.410972,4.569365,9.290949,5.928888,13.83343,4.102373,2.171621,-0.01777053,5.266441,-3.221522,9.432033,0.9379464,7.268017,13.60866,4.691966,6.107995,S  8
10.11488,5.780405,6.300548,13.86559,5.615749,14.96451,2.204127,5.639836,1.915532,8.690153,-1.78868,6.12155,0.7790489,4.183909,15.05551,2.943659,6.868665,S  8
1.928406,0.05971524,0.6951386,3.617375,2.464934,6.192369,4.077909,1.688718,0.6635646,1.903687,-4.243048,6.911511,11.35378,11.80406,6.647826,5.207128,4.670255,S  9
4.348939,-2.660588,0.8181552,7.076034,1.296996,10.18484,0.5298721,4.876213,-1.880554,-0.8530603,-9.436776,10.62183,-1.648567,6.365014,9.421293,1.649341,3.111965,S  9
4.930961,-2.958882,0.8867692,8.35511,2.386052,8.152102,1.704186,3.643934,-2.556871,3.973159,-11.62681,6.45886,1.507052,5.346829,7.681352,2.984812,2.91574,S  9
8.381777,-0.7487903,2.505264,9.06751,3.08593,13.54391,2.233142,4.33335,-1.532733,4.138833,-10.00522,14.00811,0.3119329,8.885386,11.42515,3.806326,6.610045,S  9
6.126026,-2.481049,0.6152911,5.780603,-0.3759714,10.13538,-1.48638,4.348438,-1.926751,1.989873,-9.264038,12.83918,0.278442,6.547721,8.446291,0.106357,2.663877,S  9
