segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,labels
2.24977,-2.516963,1.964216,0.8544795,-2.329792,2.563806,-0.7874154,0.9982744,-1.208453,2.236979,-3.173473,2.504609,1.529884,1.236327,-0.4220363,-0.09530862,boundary
-0.3200791,-3.249722,0.4237241,-1.932469,-3.655432,-3.554851,-2.401648,0.9696727,-0.2050188,0.1934948,-4.30612,-2.884423,-4.976273,-3.671615,-3.198912,-4.443464,boundary
-0.1243993,-5.628507,-0.4056189,-3.400697,-5.337767,-2.025419,-6.105801,0.6374441,-1.255719,2.969002,-7.016738,-7.794851,-8.897565,-4.198372,-6.821634,-6.714506,boundary
0.6689965,-4.16229,0.5729709,-2.585809,-4.319391,-3.319177,-4.296383,1.263705,-1.17527,0.5385574,-6.151502,-6.887313,-7.928159,-3.777209,-4.927646,-4.896704,boundary
-1.238018,-5.643306,-1.29164,-4.036868,-6.417239,-5.95838,-5.589152,0.898446,-1.978859,0.831251,-7.482905,-9.868329,-11.79687,-7.498362,-6.677472,-7.083564,boundary
-1.671327,-7.672496,-1.504646,-6.043801,-6.92898,-6.890438,-8.311112,0.4084537,-2.223837,0.9752467,-10.29158,-12.44465,-14.84019,-7.839035,-9.806418,-9.170437,boundary
-0.1037542,0.961761,1.049313,-3.152888,-1.678063,0.479427,4.163946,1.563518,1.184029,6.032101,5.494609,-2.72069,1.981507,-3.495387,0.6278839,-5.27595,boundary
2.09714,-2.757318,0.9521445,-1.03612,-2.517083,2.808506,-1.10489,1.773248,-0.8715408,5.782954,-2.47658,-2.114082,-3.595049,-1.61234,-2.21601,-4.337266,boundary
-0.3098032,-0.2736337,0.8993658,-3.511006,-1.915586,-0.3524675,-0.07861295,1.15579,1.033618,1.955582,2.73197,-4.888712,-2.759649,-3.491342,-1.621588,-5.07467,boundary
-5.114219,-0.3942725,-2.68423,-4.872427,-1.140469,-9.385643,-2.063333,-1.932362,-1.035784,-3.439645,1.606509,-7.910705,-6.400496,-6.256591,-1.91603,-1.963291,boundary
-3.119172,-0.8691527,-1.337121,-2.809952,-0.2044812,-5.891426,-1.185853,-1.054993,-0.2678829,-4.967521,-0.1983828,-4.15589,-2.629308,-3.883485,0.1281425,0.1101077,boundary
-2.994604,-2.995693,-1.177243,-1.733942,-0.652312,-5.499715,-5.651659,-1.892573,-1.6681,-2.927696,-2.759331,-2.957463,-2.471876,-3.253342,-1.88929,-0.1823275,boundary
-5.632323,0.0911174,-1.657673,-4.488904,-0.2152275,-10.15648,-0.05597225,-1.803292,0.3026999,-5.200592,1.041867,-7.231012,-5.881438,-6.746442,-1.278762,-1.646456,boundary
-4.474139,-2.443705,-2.755745,-3.960725,-1.925391,-4.754169,-3.580999,-1.858303,-0.8531463,-5.133391,-1.366498,-4.198944,-3.762562,-4.755378,-2.426259,-1.315747,boundary
-2.33036,-1.053978,-0.3299232,-0.1873727,1.017438,-3.50123,-1.913477,-1.649918,0.4818893,-3.14939,0.2216468,1.352827,0.8070824,-0.4339696,0.3782996,1.869582,boundary
-2.286258,-2.698352,-1.33055,-2.052512,-0.9196049,-4.417987,-3.470452,-0.4346121,-0.2927252,-3.210042,-3.020173,-3.491942,-4.043302,-3.54932,-2.579424,-1.658115,boundary
-4.24594,-5.429534,-3.608191,-3.540552,-3.333173,-4.565016,-8.191966,-1.391646,-2.132926,-2.235111,-4.194689,-4.639568,-3.949628,-4.776575,-5.614475,-2.667404,boundary
2.205204,-2.507596,1.727048,0.01513901,-3.297828,0.7065649,-2.940898,1.712586,0.4956595,3.660997,-3.201012,-1.660639,-2.925856,-0.4890423,-3.305898,-3.671009,boundary
2.24977,-2.516963,1.964216,0.8544795,-2.329792,2.563806,-0.7874154,0.9982744,-1.208453,2.236979,-3.173473,2.504609,1.529884,1.236327,-0.4220363,-0.09530862,boundary
-0.3200791,-3.249722,0.4237241,-1.932469,-3.655432,-3.554851,-2.401648,0.9696727,-0.2050188,0.1934948,-4.30612,-2.884423,-4.976273,-3.671615,-3.198912,-4.443464,boundary
-0.1243993,-5.628507,-0.4056189,-3.400697,-5.337767,-2.025419,-6.105801,0.6374441,-1.255719,2.969002,-7.016738,-7.794851,-8.897565,-4.198372,-6.821634,-6.714506,boundary
0.6689965,-4.16229,0.5729709,-2.585809,-4.319391,-3.319177,-4.296383,1.263705,-1.17527,0.5385574,-6.151502,-6.887313,-7.928159,-3.777209,-4.927646,-4.896704,boundary
-1.238018,-5.643306,-1.29164,-4.036868,-6.417239,-5.95838,-5.589152,0.898446,-1.978859,0.831251,-7.482905,-9.868329,-11.79687,-7.498362,-6.677472,-7.083564,boundary
-1.671327,-7.672496,-1.504646,-6.043801,-6.92898,-6.890438,-8.311112,0.4084537,-2.223837,0.9752467,-10.29158,-12.44465,-14.84019,-7.839035,-9.806418,-9.170437,boundary
-0.1037542,0.961761,1.049313,-3.152888,-1.678063,0.479427,4.163946,1.563518,1.184029,6.032101,5.494609,-2.72069,1.981507,-3.495387,0.6278839,-5.27595,boundary
2.09714,-2.757318,0.9521445,-1.03612,-2.517083,2.808506,-1.10489,1.773248,-0.8715408,5.782954,-2.47658,-2.114082,-3.595049,-1.61234,-2.21601,-4.337266,boundary
-0.3098032,-0.2736337,0.8993658,-3.511006,-1.915586,-0.3524675,-0.07861295,1.15579,1.033618,1.955582,2.73197,-4.888712,-2.759649,-3.491342,-1.621588,-5.07467,boundary
-5.114219,-0.3942725,-2.68423,-4.872427,-1.140469,-9.385643,-2.063333,-1.932362,-1.035784,-3.439645,1.606509,-7.910705,-6.400496,-6.256591,-1.91603,-1.963291,boundary
-3.119172,-0.8691527,-1.337121,-2.809952,-0.2044812,-5.891426,-1.185853,-1.054993,-0.2678829,-4.967521,-0.1983828,-4.15589,-2.629308,-3.883485,0.1281425,0.1101077,boundary
-2.994604,-2.995693,-1.177243,-1.733942,-0.652312,-5.499715,-5.651659,-1.892573,-1.6681,-2.927696,-2.759331,-2.957463,-2.471876,-3.253342,-1.88929,-0.1823275,boundary
-5.632323,0.0911174,-1.657673,-4.488904,-0.2152275,-10.15648,-0.05597225,-1.803292,0.3026999,-5.200592,1.041867,-7.231012,-5.881438,-6.746442,-1.278762,-1.646456,boundary
