segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,labels
6.131158,-0.3275268,-2.039175,4.569149,-6.976435,16.15068,2.266813,20.64586,-1.111195,2.575133,1.410653,-2.785548,3.211412,-0.3066516,boundary
0.6916156,-1.093163,0.349162,1.287961,6.286568,-0.6701795,-1.153822,-5.652174,-1.630511,-0.289471,0.5238886,0.4359152,-0.9608632,-0.03473805,boundary
-5.054385,-0.5431647,0.6392086,0.5200745,-5.962176,-9.26692,-1.339612,-0.2075598,-0.6381317,-0.4829787,-0.8789211,-1.839152,-3.234951,-0.4193066,boundary
6.832074,-3.024776,-1.28397,4.219941,2.100427,8.66517,2.752286,10.93635,3.368094,4.299879,2.368482,1.351023,1.488138,0.7401199,boundary
1.280614,-3.867812,-1.931319,1.896366,-5.480227,3.971048,0.03822475,8.717357,-0.194209,2.067516,1.2432,-2.543356,0.4621327,-1.302283,boundary
6.238451,1.863114,-0.8468461,3.616816,4.68918,7.222177,2.977772,4.026734,7.271972,6.33763,7.568392,3.231469,8.177481,5.891166,boundary
3.482994,0.440099,-3.719469,1.460714,-1.063687,5.202503,1.947439,2.067842,1.064321,0.1722369,2.075858,-1.832419,3.799731,-0.257947,boundary
-0.8024732,-1.381376,-5.628317,-2.717655,-5.536404,-0.09162714,0.1888197,3.531021,-1.728557,-0.4501565,-0.2993917,-5.022462,-0.5134377,-1.856481,boundary
-1.335664,-1.207551,-3.904402,-3.02122,-1.405062,-1.790634,-0.3098326,-2.709001,-0.08656184,0.9832908,1.681995,-2.166908,-1.340522,0.7239043,boundary
-3.004208,-1.878113,-4.190561,-4.346559,0.2824805,-1.880589,-0.586494,-1.024097,-1.249925,-1.402824,0.1293675,-2.62139,-3.354418,-1.517735,boundary
-5.545277,-1.578728,-1.833981,-5.988004,-6.533721,-7.448771,-2.206074,-2.029706,-5.099857,-3.407392,-3.47738,-4.628837,-5.915809,-3.206278,boundary
-7.341315,-4.477919,-3.539779,-9.306013,-3.392352,-10.34118,-2.867805,-4.924849,-7.755181,-8.039241,-7.521388,-5.336952,-10.27073,-4.174176,boundary
-3.613682,-0.4455634,0.8489931,-4.329972,-0.9571966,-4.261548,-0.9224688,-1.632552,0.5216409,1.424686,2.223234,0.2935698,-3.584534,1.26175,boundary
-2.618532,0.7767453,4.689935,-2.437194,3.129894,-4.798748,-1.02994,-4.458315,0.7905858,1.276446,1.063991,3.607919,-2.36839,2.123537,boundary
-4.149317,-3.031753,2.004469,-6.345302,-0.2488229,-8.31528,-1.75418,-1.538199,-4.4801,-7.936358,-6.370973,-0.6919154,-7.601195,-1.730865,boundary
1.413006,2.975766,4.979079,1.160894,-0.01726684,-0.5234082,1.050449,-0.47236,3.142599,3.349545,4.12596,3.733574,2.367855,3.807142,boundary
-0.3011898,3.454198,3.477275,4.470724,-7.846364,8.530019,-0.2837332,7.79075,8.153703,12.55655,10.67831,3.820858,7.204292,4.92051,S  8
