segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,labels
-0.3160193,-0.5104516,-0.2936146,0.6644564,0.02622725,3.588409,4.126491,4.711845,4.033119,1.059327,1.507683,0.913808,boundary
0.3270753,-1.463173,-2.131287,-0.388479,-2.16282,-3.416796,-3.137756,-1.807189,-2.950564,-4.391505,-2.507012,-3.051968,boundary
-0.7573481,-1.05956,-2.613804,0.6932535,0.7154526,-3.608305,-4.809575,-0.7540917,-2.129975,-4.018571,-1.274455,-0.8660471,boundary
-0.6153849,-2.71699,-5.796413,-2.086708,-7.089987,-3.49768,-8.849328,-3.491278,-5.726626,-8.959352,-4.62068,-3.86974,boundary
-0.518761,-3.228596,-4.565189,-0.5163361,-10.58951,-2.432645,-6.666654,-0.6394694,-3.390068,-11.90743,-4.036521,-4.326138,boundary
-3.877218,-4.917035,-7.024201,-2.373312,-6.954957,-6.273032,-8.817304,-4.548522,-4.521819,-11.22844,-4.279658,-4.278635,boundary
1.539163,-3.530749,-6.663096,-1.753669,-11.92232,-4.332705,-10.31204,-4.716449,-5.390725,-12.92791,-5.161347,-4.097689,boundary
-0.1396797,-2.432157,-1.493075,-0.256762,-6.90442,1.871265,-3.18522,2.526475,1.809858,-8.966441,-1.980708,-1.191065,boundary
-0.5767717,-5.076663,-3.463084,-1.462737,-8.531802,1.205982,-3.015338,-0.2214477,1.119594,-8.892529,-1.061429,-1.906684,boundary
-5.72276,4.276793,6.94736,-1.194998,4.957273,-9.226978,-12.54482,-11.50439,-11.80142,-0.5227184,-7.962232,1.719587,boundary
-3.846397,4.28623,5.388326,-1.512676,-2.116213,-9.118639,-11.74373,-12.11034,-12.12412,-1.782816,-7.993345,0.616286,boundary
-2.395094,4.725444,7.380677,1.329524,0.9013833,-4.520017,-4.310623,-3.551003,-4.911388,2.20295,-2.420517,4.251157,boundary
-2.145512,2.061205,4.004751,0.6193696,1.550621,-4.492488,-3.380951,-4.204713,-4.211159,-0.04661712,-2.187511,2.727435,boundary
1.412143,2.934422,1.382492,2.046224,-2.745578,0.7334567,1.412847,0.7518552,1.125334,-0.08890411,2.515502,3.788911,boundary
0.3095996,3.452746,2.25165,1.077274,4.196756,0.4974467,4.697653,2.808299,2.131042,3.230783,1.108642,2.713794,boundary
1.760071,0.9236236,0.6902018,1.716686,-0.9982723,3.672143,6.105819,7.12601,5.573651,1.358272,4.677512,3.008083,boundary
1.477685,0.5595925,-1.05222,1.753425,1.794317,4.656152,5.371515,7.76422,6.803935,0.3007079,6.530631,3.236055,boundary
-0.9073995,0.9775141,-4.026691,-1.919224,-2.54982,-0.4239081,1.513305,1.526986,0.1502101,-3.030603,0.05767917,-2.033052,boundary
0.3860249,0.7046282,-2.41088,-0.1119744,1.245111,3.737665,5.422119,7.943017,6.727945,0.1728734,2.514929,-0.1407944,boundary
